,Date,High,Low,Close
0,01/10/1928,242.46,238.24,240.01
1,02/10/1928,241.54,235.42,238.14
2,03/10/1928,239.14,233.6,237.75
3,04/10/1928,242.53,237.72,240.0
4,05/10/1928,243.08,238.22,240.44
5,06/10/1928,241.66,239.23,240.17
6,08/10/1928,243.33,237.72,239.55
7,09/10/1928,242.86,236.79,241.73
8,10/10/1928,249.06,241.57,246.53
9,11/10/1928,250.14,245.57,247.69
10,13/10/1928,250.43,247.35,249.13
11,15/10/1928,252.7,247.33,249.85
12,16/10/1928,255.27,247.92,249.43
13,17/10/1928,253.6,247.74,250.87
14,18/10/1928,255.24,249.65,251.88
15,19/10/1928,259.19,250.35,256.59
16,20/10/1928,257.75,252.58,253.75
17,22/10/1928,257.32,250.08,253.6
18,23/10/1928,258.6,252.73,256.04
19,24/10/1928,260.39,249.09,257.03
20,25/10/1928,260.03,254.93,256.48
21,26/10/1928,259.16,250.0,251.44
22,27/10/1928,257.2,252.24,255.51
23,29/10/1928,259.76,255.03,257.13
24,30/10/1928,259.0,252.39,253.7
25,31/10/1928,256.16,248.76,252.16
26,01/11/1928,256.59,251.56,255.23
27,02/11/1928,256.99,252.46,254.38
28,03/11/1928,255.33,253.29,254.16
29,05/11/1928,259.68,253.89,257.58
30,07/11/1928,263.97,258.48,260.68
31,08/11/1928,265.26,258.96,261.11
32,09/11/1928,266.24,259.37,263.05
33,10/11/1928,266.74,262.9,265.58
34,12/11/1928,272.47,264.42,269.67
35,13/11/1928,272.03,264.88,269.89
36,14/11/1928,272.94,266.8,268.6
37,15/11/1928,271.63,266.48,269.42
38,16/11/1928,278.65,271.48,276.66
39,17/11/1928,279.5,274.43,277.48
40,19/11/1928,280.68,272.98,278.78
41,20/11/1928,288.13,278.05,283.9
42,21/11/1928,288.71,276.91,280.53
43,22/11/1928,292.12,281.28,290.34
44,23/11/1928,295.17,284.4,288.22
45,26/11/1928,296.1,288.14,291.16
46,27/11/1928,294.75,289.28,292.39
47,28/11/1928,299.35,290.68,295.62
48,30/11/1928,299.07,288.82,293.38
49,01/12/1928,295.22,289.76,290.8
50,03/12/1928,291.05,283.89,289.23
51,04/12/1928,295.61,287.61,291.3
52,05/12/1928,294.2,289.91,290.68
53,06/12/1928,292.56,278.66,279.79
54,07/12/1928,284.44,269.58,271.05
55,08/12/1928,270.32,255.02,257.33
56,10/12/1928,266.22,254.36,263.95
57,11/12/1928,270.41,263.71,269.34
58,12/12/1928,272.74,264.95,266.82
59,13/12/1928,269.53,260.51,266.88
60,14/12/1928,275.45,266.99,272.26
61,15/12/1928,274.26,269.01,270.72
62,17/12/1928,272.27,266.21,270.23
63,18/12/1928,276.41,269.61,275.42
64,19/12/1928,282.84,275.09,280.5
65,20/12/1928,285.6,277.91,282.01
66,21/12/1928,288.39,281.31,286.53
67,22/12/1928,288.17,284.64,285.94
68,24/12/1928,291.17,284.3,287.89
69,26/12/1928,292.53,283.94,286.13
70,27/12/1928,291.39,281.55,290.95
71,28/12/1928,297.79,283.68,296.52
72,29/12/1928,300.61,294.43,297.28
73,31/12/1928,301.61,291.99,300.0
74,02/01/1929,308.66,300.31,307.01
75,03/01/1929,311.46,302.9,305.72
76,04/01/1929,307.51,299.92,304.75
77,05/01/1929,308.91,300.48,302.43
78,07/01/1929,301.85,293.35,297.7
79,08/01/1929,300.87,292.89,296.98
80,09/01/1929,303.04,296.37,300.83
81,10/01/1929,305.2,299.6,301.58
82,11/01/1929,305.85,298.68,301.66
83,12/01/1929,303.63,298.43,301.25
84,14/01/1929,306.26,299.06,304.06
