,n,x,y,z(ratio)
0,1,2,3,0.6666666666666666
1,2,4,3,0.75
2,3,8,9,0.8888888888888888
3,4,16,9,0.5625
4,5,16,27,0.5925925925925926
5,6,32,27,0.84375
6,7,64,81,0.7901234567901234
7,8,128,81,0.6328125
8,9,128,243,0.5267489711934157
9,10,256,243,0.94921875
10,11,512,729,0.7023319615912208
11,12,1024,729,0.7119140625
12,13,2048,2187,0.9364426154549611
13,14,4096,2187,0.533935546875
14,15,4096,6561,0.6242950769699741
15,16,8192,6561,0.8009033203125
16,17,16384,19683,0.8323934359599654
17,18,32768,19683,0.600677490234375
18,19,32768,59049,0.5549289573066436
19,20,65536,59049,0.9010162353515625
20,21,131072,177147,0.7399052764088582
21,22,262144,177147,0.6757621765136719
22,23,524288,531441,0.9865403685451443
23,24,1048576,531441,0.5068216323852539
24,25,1048576,1594323,0.6576935790300962
25,26,2097152,1594323,0.7602324485778809
26,27,4194304,4782969,0.8769247720401282
27,28,8388608,4782969,0.5701743364334106
28,29,8388608,14348907,0.5846165146934188
29,30,16777216,14348907,0.855261504650116
30,31,33554432,43046721,0.7794886862578917
31,32,67108864,43046721,0.641446128487587
32,33,67108864,129140163,0.5196591241719278
33,34,134217728,129140163,0.9621691927313805
34,35,268435456,387420489,0.6928788322292371
35,36,536870912,387420489,0.7216268945485353
36,37,1073741824,1162261467,0.9238384429723161
37,38,2147483648,1162261467,0.5412201709114015
38,39,2147483648,3486784401,0.6158922953148774
39,40,4294967296,3486784401,0.8118302563671023
40,41,8589934592,10460353203,0.8211897270865033
41,42,17179869184,10460353203,0.6088726922753267
42,43,17179869184,31381059609,0.5474598180576689
43,44,34359738368,31381059609,0.91330903841299
44,45,68719476736,94143178827,0.7299464240768918
45,46,137438953472,94143178827,0.6849817788097425
46,47,274877906944,282429536481,0.973261898769189
47,48,549755813888,282429536481,0.5137363341073069
48,49,549755813888,847288609443,0.648841265846126
49,50,1099511627776,847288609443,0.7706045011609604
50,51,2199023255552,2541865828329,0.8651216877948347
51,52,4398046511104,2541865828329,0.5779533758707203
52,53,4398046511104,7625597484987,0.5767477918632231
53,54,8796093022208,7625597484987,0.8669300638060804
54,55,17592186044416,22876792454961,0.7689970558176308
55,56,35184372088832,22876792454961,0.6501975478545603
56,57,35184372088832,68630377364883,0.5126647038784206
57,58,70368744177664,68630377364883,0.9752963217818404
58,59,140737488355328,205891132094649,0.6835529385045608
59,60,281474976710656,205891132094649,0.7314722413363803
60,61,562949953421312,617673396283947,0.911403918006081
61,62,1125899906842624,617673396283947,0.5486041810022853
62,63,1125899906842624,1853020188851841,0.607602612004054
63,64,2251799813685248,1853020188851841,0.8229062715034279
64,65,4503599627370496,5559060566555523,0.8101368160054053
65,66,9007199254740992,5559060566555523,0.6171797036275709
66,67,9007199254740992,16677181699666569,0.5400912106702702
67,68,18014398509481984,16677181699666569,0.9257695554413563
68,69,36028797018963968,50031545098999707,0.7201216142270269
69,70,72057594037927936,50031545098999707,0.6943271665810172
70,71,144115188075855872,150094635296999121,0.9601621523027026
71,72,288230376151711744,150094635296999121,0.520745374935763
72,73,288230376151711744,450283905890997363,0.6401081015351351
73,74,576460752303423488,450283905890997363,0.7811180624036445
74,75,1152921504606846976,1350851717672992089,0.8534774687135134
75,76,2305843009213693952,1350851717672992089,0.5858385468027333
76,77,2305843009213693952,4052555153018976267,0.5689849791423423
77,78,4611686018427387904,4052555153018976267,0.8787578202041
78,79,9223372036854775808,12157665459056928801,0.7586466388564563
79,80,18446744073709551616,12157665459056928801,0.659068365153075
80,81,18446744073709551616,36472996377170786403,0.5057644259043043
81,82,36893488147419103232,36472996377170786403,0.9886025477296125
82,83,73786976294838206464,109418989131512359209,0.6743525678724057
83,84,147573952589676412928,109418989131512359209,0.7414519107972094
84,85,295147905179352825856,328256967394537077627,0.8991367571632075
85,86,590295810358705651712,328256967394537077627,0.556088933097907
86,87,590295810358705651712,984770902183611232881,0.5994245047754717
87,88,1180591620717411303424,984770902183611232881,0.8341333996468605
88,89,2361183241434822606848,2954312706550833698643,0.7992326730339623
89,90,4722366482869645213696,2954312706550833698643,0.6256000497351454
90,91,4722366482869645213696,8862938119652501095929,0.5328217820226415
91,92,9444732965739290427392,8862938119652501095929,0.9384000746027181
92,93,18889465931478580854784,26588814358957503287787,0.7104290426968554
93,94,37778931862957161709568,26588814358957503287787,0.7038000559520385
94,95,75557863725914323419136,79766443076872509863361,0.9472387235958072
95,96,151115727451828646838272,79766443076872509863361,0.527850041964029
96,97,151115727451828646838272,239299329230617529590083,0.6314924823972048
97,98,302231454903657293676544,239299329230617529590083,0.7917750629460434
98,99,604462909807314587353088,717897987691852588770249,0.8419899765296064
99,100,1208925819614629174706176,717897987691852588770249,0.5938312972095325
100,101,1208925819614629174706176,2153693963075557766310747,0.5613266510197376
101,102,2417851639229258349412352,2153693963075557766310747,0.8907469458142988
102,103,4835703278458516698824704,6461081889226673298932241,0.7484355346929834
103,104,9671406556917033397649408,6461081889226673298932241,0.6680602093607241
104,105,19342813113834066795298816,19383245667680019896796723,0.9979140462573112
105,106,38685626227668133590597632,19383245667680019896796723,0.5010451570205431
106,107,38685626227668133590597632,58149737003040059690390169,0.6652760308382075
